Year,IceInDayofYear,IceOutDayofYear,LengthOfIceCover_days,IceInDayofYear_fed,cumMeanDailyT_Jan,cumMeanDailyT_Feb,cumMeanDailyT_Mar,cumMeanDailyT_Apr,cumMeanDailyT_Sep,cumMeanDailyT_Oct,cumMeanDailyT_Nov,cumMeanDailyT_Dec,cumSnow_Jan,cumSnow_Feb,cumSnow_Mar,cumSnow_Apr,cumSnow_Sep,cumSnow_Oct,cumSnow_Nov,cumSnow_Dec,cumRain_Jan,cumRain_Feb,cumRain_Mar,cumRain_Apr,cumRain_Sep,cumRain_Oct,cumRain_Nov,cumRain_Dec,percPrecipRain_Jan,percPrecipRain_Feb,percPrecipRain_Mar,percPrecipRain_Apr,percPrecipRain_Sep,percPrecipRain_Oct,percPrecipRain_Nov,percPrecipRain_Dec,nDaysMeanBelowZero_Jan,nDaysMeanBelowZero_Feb,nDaysMeanBelowZero_Mar,nDaysMeanBelowZero_Apr,nDaysMeanBelowZero_Sep,nDaysMeanBelowZero_Oct,nDaysMeanBelowZero_Nov,nDaysMeanBelowZero_Dec,nDaysMinBelowZero_Jan,nDaysMinBelowZero_Feb,nDaysMinBelowZero_Mar,nDaysMinBelowZero_Apr,nDaysMinBelowZero_Sep,nDaysMinBelowZero_Oct,nDaysMinBelowZero_Nov,nDaysMinBelowZero_Dec,cumMeanDailyT_SepOct,cumMeanDailyT_SepOctNov,cumMeanDailyT_OctNov,cumMeanDailyT_OctNovDec,cumSnow_OctNov,cumSnow_OctNovDec,cumSnow_SepOct,cumSnow_SepOctNov,cumRain_SepOct,cumRain_SepOctNov,cumRain_OctNov,cumRain_OctNovDec,nDaysMeanBelowZero_SepOct,nDaysMeanBelowZero_SepOctNov,nDaysMeanBelowZero_OctNov,nDaysMeanBelowZero_OctNovDec,nDaysMinBelowZero_SepOct,nDaysMinBelowZero_SepOctNov,nDaysMinBelowZero_OctNov,nDaysMinBelowZero_OctNovDec,cumMeanDailyT_MarApr,cumMeanDailyT_FebMarApr,cumMeanDailyT_FebMar,cumMeanDailyT_JanFebMar,cumSnow_MarApr,cumSnow_FebMarApr,cumSnow_FebMar,cumSnow_JanFebMar,cumRain_MarApr,cumRain_FebMarApr,cumRain_FebMar,cumRain_JanFebMar,nDaysMeanAboveZero_MarApr,nDaysMeanAboveZero_Mar,nDaysMeanAboveZero_FebMar,nDaysMinAboveZero_MarApr,nDaysMinAboveZero_Mar,nDaysMinAboveZero_FebMar,maxSnowDepth_mm,maxSnowDepthDOY_fed,ENSO_index_spring,ENSO_index_summer,ENSO_index_winter,ENSO_index_fall,ENSO_Jan,ENSO_Feb,ENSO_Mar,ENSO_Apr,ENSO_Oct,ENSO_Nov,ENSO_Dec,ENSO_Oct_to_Mar,NAO_index_spring,NAO_index_summer,NAO_index_winter,NAO_index_fall,NAO_index_Jan,NAO_index_Feb,NAO_index_Mar,NAO_index_Apr,NAO_index_May,NAO_index_Jun,NAO_index_Jul,NAO_index_Aug,NAO_index_Sep,NAO_index_Oct,NAO_index_Nov,NAO_index_Dec,GlobalTempanomaly_C,isotherm_TempMax_degC_17_days_0_degC_WaterYear_date,isotherm_TempMean_degC_29_days_4_degC_WaterYear_date
1919,NA,NA,NA,NA,-37.219999999999985,-50.28,90.53999999999999,235.83999999999997,519.45,350.30999999999995,169.43999999999997,3.0400000000000023,266.7,190.5,33.02,NA,0,NA,NA,76.19999999999999,72.89800000000001,82.55,140.462,NA,NA,63.245999999999995,66.04,119.38000000000001,21.465968586387437,30.23255813953488,80.96632503660321,NA,NA,NA,NA,61.03896103896105,12,21,8,3,0,0,2,14,24,24,19,5,0,1,12,25,869.76,1039.2,519.7499999999999,522.78999999999985,NA,NA,NA,NA,NA,NA,129.286,248.666,0,2,2,16,1,13,13,38,326.38,276.09999999999997,40.25999999999999,3.0400000000000063,NA,NA,223.52,490.21999999999997,NA,NA,223.012,295.90999999999997,50,23,30,37,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,-281.92999999999995,-160.27,61.400000000000006,219.99,445.80999999999995,388.05999999999995,118.88,NA,558.8,739.14,287.02,NA,NA,NA,0,210.82,96.012,144.78,100.076,108.712,133.35,69.85000000000001,148.844,56.89599999999999,14.662529092319629,16.379310344827587,25.853018372703414,NA,NA,NA,100,21.252371916508533,29,27,12,2,0,0,2,NA,31,29,19,8,2,1,16,NA,833.8699999999999,952.7499999999999,506.93999999999994,NA,NA,NA,NA,NA,203.2,352.044,218.69400000000002,275.59000000000003,0,2,2,NA,3,19,17,NA,281.39,121.12,-98.87,-380.79999999999995,NA,NA,1026.1599999999999,1584.96,208.788,353.568,244.856,340.868,47,19,20,34,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,-86.94,-65.55,181.68,351.39,548.07,349.72000000000014,85.03000000000002,-23.32999999999999,76.2,635,0,NA,NA,0,76.2,101.6,24.637999999999998,131.064,153.92399999999998,157.48000000000002,117.602,81.02600000000001,100.584,132.334,24.43324937027708,17.108753315649867,100,NA,NA,100,56.896551724137936,56.56894679695983,18,20,3,0,0,0,5,18,26,27,15,5,0,7,18,25,897.7900000000002,982.8200000000002,434.75000000000017,411.4200000000002,76.2,177.8,NA,NA,198.62800000000001,299.212,181.61,313.944,0,5,5,23,7,25,25,50,533.0699999999999,467.52,116.13000000000001,29.189999999999998,NA,NA,635,711.2,311.404,442.46799999999996,284.98799999999994,309.626,58,28,36,41,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,-204.18,-89.44,66.93,247.52000000000004,NA,NA,NA,-113.05999999999999,304.79999999999995,312.41999999999996,215.89999999999998,NA,0,NA,0,50.8,43.688,46.99,83.566,67.056,39.37,43.688,127.254,49.275999999999996,12.53644314868805,13.074204946996467,27.905004240882104,NA,100,NA,100,49.23857868020304,26,19,9,2,NA,NA,NA,22,30,27,24,7,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,83.05799999999999,210.312,170.942,220.21800000000002,NA,NA,NA,NA,NA,NA,NA,NA,314.45000000000005,225.01000000000005,-22.50999999999999,-226.69,NA,NA,528.3199999999999,833.1199999999999,150.622,197.61200000000002,130.556,174.244,50,22,31,30,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,-188.86,-46.10999999999999,241.12999999999997,507.23,406.6499999999999,NA,NA,1059.18,520.7,266.7,NA,NA,0,50.8,317.5,138.938,65.532,43.17999999999999,55.88,102.87,62.22999999999999,23.367999999999995,35.052,11.596353614585542,11.178509532062389,13.934426229508196,NA,NA,100,31.506849315068493,9.94236311239193,NA,24,18,1,0,0,NA,NA,NA,28,29,11,0,7,NA,28,913.8799999999999,NA,NA,NA,50.8,368.3,NA,NA,165.1,188.468,85.59799999999998,120.64999999999998,0,NA,NA,NA,7,NA,NA,NA,195.01999999999998,6.159999999999968,-234.97,NA,NA,NA,787.4000000000001,1846.5800000000002,99.06,164.59199999999998,108.71199999999999,247.64999999999998,42,13,17,21,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,-174.16999999999996,20.840000000000003,NA,456.95000000000005,323.35,133.60999999999999,NA,NA,NA,NA,292.1,NA,NA,NA,22.86,145.542,65.024,20.066,149.35199999999998,134.36599999999999,101.6,119.38,NA,NA,NA,NA,33.8319907940161,NA,NA,NA,NA,NA,29,11,NA,0,0,2,NA,NA,29,27,NA,0,0,11,NA,780.3000000000001,913.9100000000001,456.96000000000004,NA,NA,NA,NA,NA,235.96599999999998,355.346,220.98,NA,0,2,2,NA,0,11,11,NA,NA,NA,-153.32999999999996,NA,NA,NA,NA,NA,169.41799999999998,234.44199999999998,85.09,230.632,NA,20,19,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,-186.93,46.400000000000006,152.23,277.51000000000005,515.8400000000001,NA,160.00000000000006,-32.21,NA,152.4,50.8,0,0,NA,88.89999999999999,63.5,93.218,71.62799999999999,107.18799999999999,53.593999999999994,113.284,0,64.008,35.306000000000004,NA,31.972789115646254,67.84565916398712,100,100,NA,41.86046511627907,35.732647814910024,28,11,4,0,0,NA,4,20,31,18,17,7,0,NA,12,28,NA,NA,NA,NA,NA,NA,NA,NA,113.284,177.292,64.008,99.314,NA,NA,NA,NA,NA,NA,NA,NA,429.74,476.14000000000004,198.63,11.699999999999989,50.8,203.2,203.2,NA,160.78199999999998,232.40999999999997,178.81599999999997,272.034,57,27,44,37,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,-84.97,-115.55,-41.13000000000001,173.07000000000002,470.01,229.16000000000003,137.20999999999998,-28.609999999999992,274.32,622.3000000000001,NA,0,0,43.17999999999999,NA,NA,45.212,160.78199999999998,59.182,71.882,93.726,142.748,114.80799999999999,68.07200000000002,14.149443561208269,20.531949399935122,NA,100,100,76.775956284153,NA,NA,21,25,19,1,0,1,2,18,27,28,28,14,0,6,16,25,699.1700000000001,836.3800000000001,366.37,337.76,NA,NA,43.17999999999999,NA,236.474,351.282,257.556,325.628,1,3,3,21,6,22,22,47,131.94,16.390000000000015,-156.68,-241.64999999999998,NA,NA,NA,NA,131.06400000000002,291.846,219.964,265.176,41,12,15,19,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,-150.83,-32.23,101.65999999999998,226.95000000000002,500.81999999999994,283.32000000000005,118.07000000000001,-155.27999999999997,723.9,647.6999999999999,50.8,12.7,NA,0,NA,711.2,84.328,56.641999999999996,47.751999999999995,52.324,116.07800000000002,146.304,99.822,74.676,10.433689503456947,8.041831950955643,48.45360824742268,80.46875,NA,100,NA,9.502262443438914,23,18,8,0,0,0,4,27,28,26,17,11,0,3,16,30,784.14,902.21,401.39000000000004,246.11000000000007,NA,NA,NA,NA,262.382,362.204,246.126,320.802,0,4,4,31,3,19,19,49,328.61,296.38,69.42999999999998,-81.40000000000002,63.5,711.1999999999999,698.4999999999999,1422.3999999999999,100.076,156.718,104.39399999999999,188.72199999999998,53,23,33,33,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,-67.51,-68.60999999999999,20.020000000000003,173.91,392.22999999999996,411.12,200.85000000000002,-36.12,177.8,304.8,215.9,177.79999999999998,NA,NA,NA,25.4,54.102000000000004,80.26400000000001,34.036,NA,59.944,146.304,209.804,120.64999999999999,23.329682365826944,20.844327176781004,13.617886178861788,NA,NA,NA,NA,82.6086956521739,19,18,15,1,0,0,4,18,24,26,26,20,6,0,12,27,803.3499999999999,1004.1999999999999,611.97,575.85,NA,NA,NA,NA,206.248,416.052,356.108,476.758,0,4,4,22,6,18,12,39,193.93,125.32000000000002,-48.58999999999998,-116.1,393.7,698.5,520.7,698.5,NA,NA,114.30000000000001,168.40200000000002,45,16,26,15,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,-117.52,-87.81000000000002,NA,NA,545.82,NA,178.05,34.459999999999994,253.99999999999997,406.4,254,NA,NA,NA,25.4,0,84.328,91.44,26.67,226.05999999999995,41.91,NA,64.262,15.24,24.924924924924927,18.367346938775512,9.502262443438914,NA,NA,NA,71.671388101983,100,27,18,NA,NA,0,NA,3,10,30,27,16,10,0,10,14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,24,24,44,NA,NA,NA,NA,NA,NA,660.4,914.4,252.72999999999996,344.16999999999996,118.11,202.438,NA,NA,NA,35,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3283333333333333,NA,NA
1930,NA,NA,NA,NA,-99.42999999999999,-38.31,54.16,213.59000000000003,561.64,321.66,NA,NA,228.6,254,NA,NA,NA,NA,0,266.7,30.988,NA,42.41799999999999,24.637999999999998,88.138,105.664,66.54799999999999,NA,11.937377690802348,NA,NA,NA,NA,NA,100,NA,21,19,8,1,0,0,NA,NA,25,22,25,11,0,3,NA,NA,883.3,NA,NA,NA,NA,NA,NA,NA,193.80200000000002,260.35,172.212,NA,0,NA,NA,NA,3,NA,NA,NA,267.75,229.44000000000003,15.849999999999994,-83.58000000000001,NA,NA,NA,NA,67.05599999999998,NA,NA,NA,52,23,32,25,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11000000000000001,NA,NA
1931,NA,NA,NA,NA,-67.23,-76.94,49.17,263.33,541.9499999999999,321.41,144.98999999999995,-53.339999999999996,584.1999999999999,711.2,NA,0,NA,NA,0,431.79999999999995,36.322,39.116,15.24,117.348,61.214,27.432,114.554,46.736,5.853458862054851,5.213270142180095,NA,100,NA,NA,100,9.766454352441615,23,22,10,0,0,0,6,21,28,27,21,3,0,2,10,27,863.3599999999999,1008.3499999999999,466.4,413.06,NA,NA,NA,NA,88.646,203.2,141.986,188.72199999999998,0,6,6,27,2,12,12,39,312.5,235.56,-27.769999999999996,-95.00000000000001,NA,NA,NA,NA,132.588,171.704,54.356,90.678,51,21,27,37,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.060833333333333336,NA,NA
1932,NA,97,NA,NA,66.38000000000001,-36.11,-31.970000000000006,200.56999999999996,494.72,332.22,202.79999999999998,50.030000000000015,190.5,406.40000000000003,546.1,0,NA,NA,50.8,50.8,113.03,55.37199999999999,89.916,27.94,20.32,57.403999999999996,35.56,54.864,37.23849372384937,11.991199119911988,14.137380191693289,100,NA,NA,41.1764705882353,51.92307692307693,9,16,14,0,0,0,4,9,24,27,28,12,0,0,7,21,826.94,1029.74,535.02,585.05,NA,NA,NA,NA,77.72399999999999,113.28399999999999,92.964,147.828,0,4,4,13,0,7,7,28,168.59999999999997,132.48999999999995,-68.08000000000001,-1.6999999999999957,546.1,952.5,952.5,1143,117.856,173.22799999999998,145.28799999999998,258.318,47,17,29,21,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12833333333333333,NA,204
1933,365,98,99,91,28.889999999999993,-55.839999999999996,-21.079999999999995,226.10000000000005,507.24,345.52999999999986,65.27,-19.989999999999995,25.4,482.6,228.6,203.2,NA,NA,NA,114.3,56.641999999999996,94.996,141.732,188.214,219.20200000000003,137.16,226.31399999999996,21.59,69.04024767801857,16.44678979771328,38.2716049382716,48.08565866320571,NA,NA,NA,15.887850467289722,11,16,18,0,0,0,5,12,22,24,30,6,0,1,16,21,852.7699999999999,918.03999999999985,410.79999999999984,390.80999999999983,NA,NA,NA,NA,356.362,582.6759999999999,363.47399999999993,385.0639999999999,0,5,5,17,1,17,17,38,205.02000000000007,149.18000000000006,-76.91999999999999,-48.03,431.79999999999995,914.4000000000001,711.2,736.6,329.946,424.942,236.728,293.37,43,13,25,25,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26,84,200
1934,NA,101,NA,NA,-107.21,-298.6,-13.610000000000001,217.23000000000002,515.8299999999999,263.65000000000003,28.919999999999998,NA,88.9,685.8,254,NA,NA,NA,228.60000000000002,355.6,61.21399999999999,83.82000000000002,91.69400000000002,142.24,254.25400000000005,87.884,28.955999999999996,92.45599999999999,40.77834179357021,10.891089108910894,26.524614254224836,NA,NA,NA,11.242603550295854,20.634920634920633,23,28,16,0,0,1,15,NA,27,28,26,5,0,4,20,NA,779.48,808.4,292.57000000000005,NA,NA,NA,NA,NA,342.13800000000003,371.09400000000005,116.84,209.296,1,16,16,NA,4,24,24,NA,203.62,-94.98000000000002,-312.21000000000004,-419.42,NA,NA,939.8,1028.6999999999998,233.93400000000003,317.754,175.51400000000004,236.72800000000004,45,15,15,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11166666666666665,88,200
1935,NA,91,NA,NA,-168.36,-107.53000000000002,91.35999999999999,209.17,438.03,276.68,183.62,-80.00999999999999,622.3,297.17999999999995,101.6,NA,NA,0,55.88,43.18,98.55199999999998,70.86599999999999,54.102,80.51799999999999,84.836,58.16600000000001,NA,112.01400000000002,13.671599718111343,19.25465838509317,34.74714518760196,NA,NA,100,NA,72.17675941080198,24,21,8,0,0,0,4,21,26,27,16,9,0,3,8,27,714.71,898.33,460.3,380.29,55.88,99.06,NA,NA,143.002,NA,NA,NA,0,4,4,25,3,11,11,38,300.53,192.99999999999994,-16.17000000000003,-184.53000000000006,NA,NA,398.78,1021.0799999999999,134.61999999999998,205.486,124.96799999999999,223.51999999999995,53,23,30,36,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15916666666666668,83,194
1936,356,89,98,83,-166.65999999999997,-204.73999999999995,163.58999999999997,185.31,491.95000000000005,345.8200000000001,166.67,-151.98000000000002,566.42,584.2,93.98,NA,NA,NA,76.2,NA,123.952,77.47,211.836,NA,24.638,NA,142.494,26.924,17.954378219278883,11.708253358925143,69.26910299003322,NA,NA,NA,65.1567944250871,NA,24,24,7,0,0,0,4,26,30,27,11,9,0,2,9,28,837.7700000000002,1004.4400000000002,512.4900000000001,360.5100000000001,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,30,2,11,11,39,348.9,144.16000000000003,-41.14999999999998,-207.80999999999995,NA,NA,678.1800000000001,1244.6,NA,NA,289.30600000000004,413.25800000000004,54,24,28,41,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12166666666666666,86,180
1937,342,99,123,68,19.750000000000004,-53.879999999999995,-27.240000000000002,203.85999999999996,458.02,324.16999999999996,48.900000000000006,-12.800000000000004,292.1,NA,393.69999999999993,NA,NA,NA,101.6,NA,NA,64.26199999999999,NA,105.41,131.572,NA,58.674,150.622,NA,NA,NA,NA,NA,NA,36.608557844690964,NA,15,20,19,0,0,1,13,16,26,24,30,5,0,3,17,22,782.1899999999999,831.0899999999999,373.06999999999994,360.2699999999999,NA,NA,NA,NA,NA,NA,NA,NA,1,14,14,30,3,20,20,42,176.61999999999995,122.73999999999995,-81.12,-61.37,NA,NA,NA,NA,NA,NA,NA,NA,42,12,20,26,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012499999999999994,69,201
1938,346,84,103,73,-146.10000000000005,-35.82999999999999,129.18,298.6,442.7699999999999,281.94999999999993,131.65,-81.11,472.43999999999994,127,NA,76.19999999999999,NA,NA,NA,111.75999999999999,NA,40.64,45.211999999999996,69.85000000000001,294.3860000000001,122.68199999999999,107.69600000000001,68.326,NA,24.242424242424246,NA,47.82608695652174,NA,NA,NA,37.9407616361072,25,17,9,3,0,0,5,23,29,24,18,10,0,3,11,30,724.7199999999998,856.3699999999998,413.5999999999999,332.4899999999999,NA,NA,NA,NA,417.0680000000001,524.7640000000001,230.378,298.70399999999995,0,5,5,28,3,14,14,44,427.78000000000003,391.95000000000005,93.35000000000002,-52.75000000000003,NA,NA,NA,NA,115.06200000000001,155.702,85.852,NA,49,22,33,33,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021666666666666667,76,181
1939,354,108,119,81,-106.11,-34.449999999999996,15.010000000000003,185.53,502.53000000000003,371.67,183.03000000000003,-27.76,299.72,238.76,294.64,63.5,NA,NA,330.2,116.84,NA,113.792,89.408,143.25600000000003,61.976,73.152,68.834,119.38,NA,32.27665706051873,23.280423280423282,69.28746928746929,NA,NA,17.25015913430936,50.53763440860215,23,16,18,1,0,0,6,17,28,24,23,13,0,0,12,23,874.2,1057.23,554.7,526.94,NA,NA,NA,NA,135.128,203.962,141.986,261.366,0,6,6,23,0,12,12,35,200.54,166.09,-19.43999999999999,-125.55,358.14,596.9,533.4,833.12,232.66400000000004,346.456,203.2,NA,42,13,25,25,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006666666666666664,93,203
1940,349,120,136,76,-226.68,-71.63,-50.28,164.43,466.1500000000001,331.38,102.50999999999999,-10.82,165.09999999999997,693.4200000000001,175.26,254,NA,NA,27.94,88.9,56.895999999999994,77.72400000000002,164.33800000000002,163.82999999999998,71.12,119.126,33.528,46.482,25.62929061784897,10.079051383399209,48.39192221391175,39.20972644376899,NA,NA,54.54545454545454,34.333958724202624,28,19,23,2,0,0,5,15,31,29,29,8,0,4,19,24,797.5300000000001,900.0400000000001,433.89,423.07,NA,NA,NA,NA,190.246,223.774,152.654,199.136,0,5,5,20,4,23,23,47,114.15,42.52000000000001,-121.91,-348.59000000000003,429.26,1122.68,868.6800000000001,1033.78,328.168,405.89200000000005,242.06200000000004,298.958,36,8,17,24,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15666666666666668,97,206
1941,339,103,130,65,-131.41,-68.35000000000001,-8.059999999999995,352.78999999999996,542.25,259.19000000000005,137.78,21.100000000000005,487.68,38.099999999999994,525.7800000000001,0,NA,0,177.79999999999998,114.30000000000001,66.294,59.944,54.35600000000001,38.608,18.542,60.452000000000005,144.52599999999998,93.98,11.966987620357633,61.139896373057,9.369527145359019,100,NA,100,44.838455476753346,45.12195121951219,27,22,15,0,0,1,5,12,31,28,29,4,0,9,12,21,801.44,939.22,396.97,418.07000000000005,177.79999999999998,292.1,NA,NA,78.994,223.51999999999998,204.97799999999998,298.95799999999997,1,6,6,18,9,21,21,42,344.72999999999996,276.38,-76.41,-207.82,525.7800000000001,563.8800000000001,563.8800000000001,1051.56,92.964,152.90800000000002,114.30000000000001,180.594,46,16,22,28,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27166666666666667,NA,196
1942,NA,97,NA,NA,-61.120000000000005,-91.38,111.13000000000001,318.9,497.26000000000005,365.27,208.06,1.1199999999999957,256.53999999999996,142.24,284.48,157.48,NA,NA,0,139.7,NA,70.612,157.47999999999996,21.59,153.67000000000002,49.276,83.566,68.83400000000002,NA,33.17422434367541,35.632183908045974,12.056737588652483,NA,NA,100,33.00852618757614,17,22,0,1,0,0,0,14,29,27,25,6,0,3,5,24,862.53,1070.59,573.3299999999999,574.4499999999999,NA,NA,NA,NA,202.94600000000003,286.51200000000006,132.842,201.67600000000004,0,0,0,14,3,8,8,32,430.03,338.65,19.750000000000014,-41.36999999999999,441.96000000000004,584.2,426.72,683.26,179.06999999999996,249.68199999999996,228.09199999999996,NA,60,31,37,30,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1075,NA,185
1943,351,100,114,78,-172.51000000000008,-74.45,27.510000000000005,141.64999999999998,484.72999999999996,330.53999999999996,140.26000000000002,-134.14000000000001,675.64,299.72,208.28,88.9,NA,NA,0,322.5799999999999,83.31199999999998,45.211999999999996,83.56599999999999,91.44,33.274,129.28599999999997,139.95399999999998,154.686,10.977242302543505,13.107511045655373,28.633594429939073,50.70422535211267,NA,NA,100,32.41085683874402,27,18,13,4,0,0,6,25,31,23,20,16,0,1,14,31,815.27,955.53,470.79999999999995,336.65999999999997,NA,NA,NA,NA,162.55999999999997,302.51399999999995,269.23999999999995,423.92599999999993,0,6,6,31,1,15,15,46,169.15999999999997,94.70999999999998,-46.94,-219.4500000000001,297.18,596.9,508,1183.64,175.00599999999997,220.218,128.778,212.08999999999997,44,18,28,25,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10583333333333333,80,209
1944,348,106,123,75,-73.63000000000001,-96.36999999999999,-17.45999999999998,178.9,527.22,322.78999999999985,103.89,-101.68,NA,347.98,274.32,25.4,NA,NA,66.03999999999999,0,NA,68.834,118.11,109.982,114.3,183.64199999999997,132.08,17.272,NA,16.514320536258378,30.097087378640776,81.23827392120074,NA,NA,66.66666666666667,100,24,21,14,3,0,0,7,23,29,29,23,9,0,0,15,27,850.0099999999999,953.8999999999999,426.67999999999984,324.99999999999983,NA,NA,NA,NA,297.94199999999995,430.02199999999993,315.722,332.99399999999997,0,7,7,30,0,15,15,42,161.44000000000003,65.07000000000004,-113.82999999999997,-187.45999999999998,299.71999999999997,647.6999999999999,622.3,NA,228.09199999999998,296.92600000000004,186.94400000000002,NA,44,17,24,29,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2775,87,203
